PERIODO,CENTRAL,AGENTE,AGENTE DESCRIPCION,REGION,CATEGORIA REGION,TIPO_MAQUINA,FUENTE GENERACION,TECNOLOGIA,POTENCIA INSTALADA [MW]
2016-05-01,PPAT,CTPATRTG,CT PASO LA PATRIA-TURBODISEL,NORESTE,Nea,DI,Térmica,Motor Diesel,7.2
2016-05-01,PPLEHI,PPLEUFUG,PICHI PICUN LEUFU,COMAHUE,Comahue,HI,Hidráulica,Hidráulica,285.0
2016-05-01,PPNO,GENELTUG,GENERADORA ELEC.TUCUMAN SA,NOROESTE,Noa,TG,Térmica,Turbina a gas,232.0
2016-05-01,PTR1,CTPATAGG,C.T. PATAGONICAS SA           ,PATAGONICA,Patagonia,TG,Térmica,Turbina a gas,45.0
2016-05-01,PVIEHI,HTUCUMAG,HIDROELECTRICA TUCUMAN SA     ,NOROESTE,Noa,HR,Renovable,Hidráulica Renovable,15.0
2016-05-01,QULLHI,QULLUMJG,QUEBRADA ULLUM - EPSE,CUYO,Cuyo,HR,Renovable,Hidráulica Renovable,45.0
2016-05-01,RAFA,CTRAFASG,CT RAFAELA - SECCO,LITORAL,Gba - Litoral - Buenos Aires,DI,Térmica,Motor Diesel,19.2
2016-05-01,RAW1EO,PERAWS1G,P.EOLICO RAWSON I - ENARSA,PATAGONICA,Patagonia,EO,Renovable,Eólica,48.6
2016-05-01,RAW2EO,PERAWS2G,P.EOLICO RAWSON II - ENARSA,PATAGONICA,Patagonia,EO,Renovable,Eólica,28.8
2016-05-01,RCUA,EPECORDG,EPEC GENERACION               ,CENTRO,Centro,TG,Térmica,Turbina a gas,32.0
2016-05-01,REAL,CTREALSG,CT REALICO - SECCO,COMAHUE,Comahue,DI,Térmica,Motor Diesel,24.0
2016-05-01,REOLHI,EPECORDG,EPEC GENERACION               ,CENTRO,Centro,HR,Renovable,Hidráulica Renovable,33.0
2016-05-01,RESC,CTREMEAG,C.T.REMED.DE ESCALADA -AGGREKO,GRAN BS.AS.,Gba - Litoral - Buenos Aires,DI,Térmica,Motor Diesel,25.0
2016-05-01,RGDEHB,EPECORDG,EPEC GENERACION               ,CENTRO,Centro,HB,Hidráulica,Hidráulica,750.0
2016-05-01,RHONHI,HRHONDOG,HIDROELECTRICA RIO HONDO SA   ,NOROESTE,Noa,HR,Renovable,Hidráulica Renovable,15.0
2016-05-01,ROCA,CTROCARG,CT ROCA SA,COMAHUE,Comahue,TG,Térmica,Turbina a gas,130.0
2016-05-01,ROMEHI,CHJROMEG,CENTRAL JULIAN ROMERO 5 SALTOS,COMAHUE,Comahue,HR,Renovable,Hidráulica Renovable,6.2
2016-05-01,RREYHI,HREYESYG,HIDROELECTRICA REYES EJSEDSA,NOROESTE,Noa,HR,Renovable,Hidráulica Renovable,7.0
2016-05-01,RSAU,CTMEDANG,C.MEDANITOS-RINCON SAUCES,COMAHUE,Comahue,DI,Térmica,Motor Diesel,32.0
2016-05-01,RTER,GENCORDG,GENERADORA CORDOBA S.A.,CENTRO,Centro,TG,Térmica,Turbina a gas,26.0
2016-05-01,RUFI,CTRUFING,CT RUFINO Sta Fe - ENARSA,LITORAL,Gba - Litoral - Buenos Aires,DI,Térmica,Motor Diesel,31.9
2016-05-01,SALOHI,CHSLOMAG,C.H. SALTO DE LA LOMA SIEyE,CUYO,Cuyo,MH,Renovable,Hidráulica Renovable,0.55
