AÑO,MES,BALANCE,TIPO,ENERGIA
2016,2016-01-01,OFERTA,Hidráulica,3583708.814
2016,2016-01-01,OFERTA,Importacion,170793.694
2016,2016-01-01,OFERTA,Térmica,8276749.274
2016,2016-02-01,OFERTA,Hidráulica,3228305.96
2016,2016-02-01,OFERTA,Importacion,122623.108
2016,2016-02-01,OFERTA,Nuclear,660013.741
2016,2016-02-01,OFERTA,Renovable,73219.768
2016,2016-02-01,OFERTA,Térmica,8042707.951
2012,2012-01-01,DEMANDA,Bombeo,722764.116
2012,2012-01-01,DEMANDA,Perdidas,3650209.813
2012,2012-01-01,DEMANDA,MEM,121188419.171
2015,2015-09-01,DEMANDA,Distribuidor,8418872.041
2015,2015-09-01,DEMANDA,Perdidas,409453.401
2015,2015-10-01,DEMANDA,Distribuidor,8445605.59
2015,2015-10-01,DEMANDA,Perdidas,399439.974
2015,2015-11-01,DEMANDA,Distribuidor,7996162.111
2015,2015-11-01,DEMANDA,Perdidas,328402.915
2015,2015-12-01,DEMANDA,Gran Usuario,2153186.425
2015,2015-12-01,DEMANDA,Distribuidor,9756249.136
2015,2015-12-01,DEMANDA,Perdidas,340788.795
2016,2016-01-01,DEMANDA,Gran Usuario,2080239.807
2016,2016-01-01,DEMANDA,Distribuidor,10263905.607
2016,2016-01-01,DEMANDA,Perdidas,371746.247
2016,2016-02-01,DEMANDA,Gran Usuario,2045611.372
2016,2016-02-01,DEMANDA,Distribuidor,9705536.562
2016,2016-02-01,DEMANDA,Bombeo,32936.774
2016,2016-02-01,DEMANDA,Exportacion,758.008
2016,2016-02-01,DEMANDA,Perdidas,342027.812
2015,2015-12-01,OFERTA,Térmica,7450119.363
2016,2016-01-01,OFERTA,Renovable,80655.655
2016,2016-01-01,OFERTA,Térmica,8276747.432
2016,2016-02-01,OFERTA,Hidráulica,3062755.986
2016,2016-02-01,OFERTA,Importacion,122952.873
2016,2016-02-01,OFERTA,Nuclear,660013.288
2016,2016-02-01,OFERTA,Renovable,239989.703
2016,2016-02-01,OFERTA,Térmica,8042614.456
2016,2016-03-01,OFERTA,Hidráulica,2775625.868
2016,2016-03-01,OFERTA,Importacion,13936.527
2016,2016-03-01,OFERTA,Nuclear,590449.514
2016,2016-03-01,OFERTA,Renovable,256564.805
2016,2016-03-01,OFERTA,Térmica,7182097.836
2015,2015-11-01,DEMANDA,Gran Usuario,2131259.809
2015,2015-11-01,DEMANDA,Distribuidor,8087929.673
2015,2015-12-01,DEMANDA,Perdidas,340831.401
2016,2016-01-01,DEMANDA,Gran Usuario,2082402.028
2016,2016-01-01,DEMANDA,Distribuidor,10262509.734
2016,2016-01-01,DEMANDA,Perdidas,371732.073
2016,2016-02-01,DEMANDA,Gran Usuario,2044377.299
2016,2016-02-01,DEMANDA,Distribuidor,9708464.757
2016,2016-02-01,DEMANDA,Bombeo,34830.046
2016,2016-02-01,DEMANDA,Exportacion,765.845
2016,2016-02-01,DEMANDA,Perdidas,339888.359
2016,2016-03-01,DEMANDA,Gran Usuario,2111724.949
2016,2016-03-01,DEMANDA,Distribuidor,8345990.627
2016,2016-03-01,DEMANDA,Bombeo,23650.33
2016,2016-03-01,DEMANDA,Exportacion,22423.7735
2016,2016-03-01,DEMANDA,Perdidas,314884.8705
2013,2013-01-01,OFERTA,Hidráulica,3391089.135
2013,2013-01-01,OFERTA,Renovable,44608.069
2013,2013-02-01,OFERTA,Hidráulica,2515103.341
2013,2013-02-01,OFERTA,Renovable,41448.729
2013,2013-03-01,OFERTA,Hidráulica,2928197.056
2013,2013-03-01,OFERTA,Renovable,47583.443
2013,2013-04-01,OFERTA,Hidráulica,2814264.695
2013,2013-04-01,OFERTA,Renovable,38035.444
2013,2013-05-01,OFERTA,Hidráulica,3021275.099
2013,2013-05-01,OFERTA,Renovable,52054.162
2013,2013-06-01,OFERTA,Hidráulica,2968068.377
2013,2013-06-01,OFERTA,Renovable,60528.692
2013,2013-07-01,OFERTA,Hidráulica,3709648.17
2013,2013-07-01,OFERTA,Renovable,66443.898
2013,2013-08-01,OFERTA,Hidráulica,3567360.949
2013,2013-08-01,OFERTA,Renovable,77204.601
2013,2013-09-01,OFERTA,Hidráulica,4256785.341
2013,2013-09-01,OFERTA,Renovable,65526.632
2013,2013-10-01,OFERTA,Hidráulica,3690346.157
2013,2013-10-01,OFERTA,Renovable,74713.128
2013,2013-11-01,OFERTA,Hidráulica,3621871.684
2013,2013-11-01,OFERTA,Renovable,66341.089
2013,2013-12-01,OFERTA,Hidráulica,3845601.719
2013,2013-12-01,OFERTA,Renovable,69939.103
2014,2014-01-01,OFERTA,Hidráulica,3285331.019
2014,2014-01-01,OFERTA,Renovable,67126.036
2014,2014-02-01,OFERTA,Hidráulica,2428371.546
2014,2014-02-01,OFERTA,Renovable,62988.73
2014,2014-03-01,OFERTA,Hidráulica,2770737.351
2014,2014-03-01,OFERTA,Renovable,69381.335
2014,2014-04-01,OFERTA,Hidráulica,2974844.729
2014,2014-04-01,OFERTA,Renovable,62101.564
2014,2014-05-01,OFERTA,Hidráulica,3410542.185
2014,2014-05-01,OFERTA,Renovable,64287.855
2014,2014-06-01,OFERTA,Hidráulica,3687921.722
2014,2014-06-01,OFERTA,Renovable,66248.234
2014,2014-07-01,OFERTA,Hidráulica,3708698.64
2014,2014-07-01,OFERTA,Renovable,62076.765
2014,2014-08-01,OFERTA,Hidráulica,4052000.291
2014,2014-08-01,OFERTA,Renovable,78779.156
2014,2014-09-01,OFERTA,Hidráulica,3496812.776
2014,2014-09-01,OFERTA,Renovable,84533.943
2014,2014-10-01,OFERTA,Hidráulica,3805175.077
2014,2014-10-01,OFERTA,Renovable,76640.893
2014,2014-11-01,OFERTA,Hidráulica,3643392.795
2014,2014-11-01,OFERTA,Renovable,78181.97
2014,2014-12-01,OFERTA,Hidráulica,3398534.72
2014,2014-12-01,OFERTA,Renovable,74462.614
2015,2015-01-01,OFERTA,Hidráulica,3397852.892
2015,2015-01-01,OFERTA,Renovable,68607.085
2015,2015-02-01,OFERTA,Hidráulica,2712160.08
2015,2015-02-01,OFERTA,Renovable,57661.648
2015,2015-03-01,OFERTA,Hidráulica,2855898.67
2015,2015-03-01,OFERTA,Renovable,66377.64
2015,2015-04-01,OFERTA,Hidráulica,2587011.706
2015,2015-04-01,OFERTA,Renovable,74246.759
2015,2015-05-01,OFERTA,Hidráulica,2576447.745
2015,2015-05-01,OFERTA,Renovable,68186.256
2015,2015-06-01,OFERTA,Hidráulica,3558827.533
2015,2015-06-01,OFERTA,Renovable,84466.957
2015,2015-07-01,OFERTA,Hidráulica,4130431.261
2015,2015-07-01,OFERTA,Renovable,88326.75
2015,2015-08-01,OFERTA,Hidráulica,4283569.749
2015,2015-08-01,OFERTA,Renovable,85067.679
